t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
6.3000000000,-0.3871421337,-0.7637022173,0.3225607939,-0.5736238526
6.3200000000,-0.3697305365,-0.7669626452,0.3372517148,-0.5711045273
6.3400000000,-0.3522464733,-0.7700727508,0.3518765353,-0.5684732674
6.3600000000,-0.3346933709,-0.7730319246,0.3664323892,-0.5657305885
6.3800000000,-0.3170746697,-0.7758395866,0.3809164236,-0.5628770282
6.4000000000,-0.2993938229,-0.7784951866,0.3953257995,-0.5599131459
6.4200000000,-0.2816542958,-0.7809982040,0.4096576928,-0.5568395223
6.4400000000,-0.2638595654,-0.7833481482,0.4239092945,-0.5536567600
6.4600000000,-0.2460131194,-0.7855445587,0.4380778114,-0.5503654828
6.4800000000,-0.2281184556,-0.7875870050,0.4521604664,-0.5469663357
6.5000000000,-0.2101790813,-0.7894750868,0.4661544994,-0.5434599849
6.5200000000,-0.1921985125,-0.7912084340,0.4800571677,-0.5398471177
6.5400000000,-0.1741802735,-0.7927867068,0.4938657462,-0.5361284422
6.5600000000,-0.1561278957,-0.7942095960,0.5075775287,-0.5323046872
6.5800000000,-0.1380449173,-0.7954768227,0.5211898276,-0.5283766023
6.6000000000,-0.1199348826,-0.7965881384,0.5346999749,-0.5243449572
6.6200000000,-0.1018013410,-0.7975433255,0.5481053228,-0.5202105421
6.6400000000,-0.0836478467,-0.7983421966,0.5614032438,-0.5159741675
6.6600000000,-0.0654779577,-0.7989845951,0.5745911315,-0.5116366636
6.6800000000,-0.0472952352,-0.7994703953,0.5876664012,-0.5071988805
6.7000000000,-0.0291032429,-0.7997995018,0.6006264902,-0.5026616881
6.7200000000,-0.0109055466,-0.7999718502,0.6134688583,-0.4980259756
6.7400000000,0.0072942872,-0.7999874066,0.6261909885,-0.4932926516
6.7600000000,0.0254926914,-0.7998461681,0.6387903872,-0.4884626438
6.7800000000,0.0436860990,-0.7995481623,0.6512645851,-0.4835368989
6.8000000000,0.0618709444,-0.7990934476,0.6636111372,-0.4785163823
